,incident_date,breed,age,gender,spay_neuter_status,borough,zip_code
354,2015-04-06,bull dog,0.0,M,False,Brooklyn,11213
355,2015-04-06,shepard mix,2.0,M,True,Staten Island,10309
356,2015-04-06,pit bull,1.0,M,False,Manhattan,10028
357,2015-04-07,belgian malinois,3.0,M,True,Manhattan,
358,2015-04-08,catahoula leopard dog,1.0,M,True,Brooklyn,11235
359,2015-04-08,golden retriever,7.0,F,True,Staten Island,10309
360,2015-04-08,chihuahua,5.0,M,True,Manhattan,
361,2015-04-08,husky/cattle dog mix,4.0,M,True,Brooklyn,
362,2015-04-08,labrador retriever crossbreed,7.0,M,True,Staten Island,10304
363,2015-04-08,husky/cattle mix,4.0,M,True,Brooklyn,
364,2015-04-09,shih tzu,2.0,F,False,Queens,11372
365,2015-04-10,akita,3.0,M,True,Staten Island,
366,2015-04-10,pit bull,0.0,M,True,Staten Island,10302
367,2015-04-10,cocker spaniel crossbreed,5.0,M,True,Brooklyn,11206
368,2015-04-10,american pit bull terrier/pit bull,0.0,M,False,Brooklyn,11224
369,2015-04-10,"bull dog, english",0.0,M,False,Brooklyn,11220
370,2015-04-10,labrador retriever crossbreed,7.0,F,True,Queens,11385
371,2015-04-10,american pit bull terrier/pit bull,3.0,M,True,Brooklyn,
372,2015-04-10,west high white terrier,2.0,M,False,Manhattan,
373,2015-04-10,chihuahua,5.0,M,True,Queens,11373
374,2015-04-10,maltese,4.0,M,False,Queens,11368
375,2015-04-10,american pit bull terrier/pit bull,5.0,M,False,Bronx,10455
376,2015-04-11,pit bull,8.0,M,False,Queens,11435
377,2015-04-11,maltese,13.0,M,True,Staten Island,
378,2015-04-11,american pit bull terrier/pit bull,3.0,F,True,Brooklyn,11220
379,2015-04-12,german shepherd,11.0,F,True,Brooklyn,11209
380,2015-04-12,maltese,2.0,M,False,Queens,11418
381,2015-04-12,shih tzu,2.0,M,False,Bronx,10467
382,2015-04-12,pit bull,3.0,F,True,Queens,11433
383,2015-04-12,pit bull,3.0,M,False,Manhattan,
384,2015-04-12,chihuahua,9.0,F,True,Brooklyn,11224
385,2015-04-12,pit bull,3.0,M,False,Manhattan,
386,2015-04-12,jack russ,1.0,M,False,Bronx,
387,2015-04-12,pit bull,11.0,M,False,Queens,
388,2015-04-13,pit bull,4.0,M,True,Queens,11377
389,2015-04-13,pit bull,9.0,M,False,Brooklyn,11207
390,2015-04-13,pit bull,2.0,M,False,Bronx,10460
391,2015-04-13,maltese,14.0,M,False,Queens,11432
392,2015-04-13,chihuahua,0.0,M,False,Brooklyn,11208
393,2015-04-14,terrier mix,1.0,M,True,Queens,11418
394,2015-04-14,,2.0,M,False,Manhattan,10472
395,2015-04-14,american pit bull mix / pit bull mix,2.0,F,True,Brooklyn,11216
396,2015-04-14,beagle crossbreed,19.0,M,False,Brooklyn,11214
397,2015-04-14,yorkshire terrier crossbreed,6.0,M,True,Bronx,
398,2015-04-15,maltese/poodle,3.0,M,False,Manhattan,10039
399,2015-04-15,yorkshire terrier,12.0,F,True,Manhattan,10027
400,2015-04-16,shih tzu,1.0,M,True,Bronx,10454
401,2015-04-16,"bull dog, english",2.0,F,True,Queens,11358
402,2015-04-16,labrador retriever crossbreed,2.0,F,True,Manhattan,
403,2015-04-16,rottweiler,1.0,M,True,Brooklyn,11228
404,2015-04-16,american pit bull terrier/pit bull,1.0,F,False,Brooklyn,11208
405,2015-04-17,labrador/cocker spaniel,7.0,M,False,Queens,11377
406,2015-04-17,beagle/jack russ,4.0,M,True,Brooklyn,11224
407,2015-04-17,american pit bull terrier/pit bull,3.0,M,False,Brooklyn,11231
408,2015-04-17,border terrier,3.0,M,True,Brooklyn,
409,2015-04-17,terrier,1.0,M,True,Queens,11366
410,2015-04-17,labrador retriever,12.0,M,False,Staten Island,10312
411,2015-04-17,shih tzu,9.0,M,False,Queens,
412,2015-04-18,chow chow,3.0,F,False,Queens,
413,2015-04-18,german shepherd,3.0,M,True,Queens,11354
414,2015-04-18,pit bull,6.0,F,False,Queens,11004
415,2015-04-18,mixed/other,6.0,M,True,Manhattan,
416,2015-04-18,cookapoo,8.0,M,True,Staten Island,10308
417,2015-04-19,mixed/other,0.0,F,False,Staten Island,10302
418,2015-04-19,sheperd,1.0,M,True,Manhattan,
419,2015-04-19,lhasa apso,2.0,M,False,Manhattan,10031
420,2015-04-19,boxer mix,6.0,M,True,Manhattan,
