,incident_date,breed,age,gender,spay_neuter_status
508,2015-05-04,"schnauzer, miniature",8.0,M,True
509,2015-05-04,pit bull,13.0,F,True
510,2015-05-04,rottweiler,9.0,F,True
511,2015-05-04,german shepherd,3.0,F,True
512,2015-05-04,labradoodle,9.0,F,True
513,2015-05-04,american pit bull terrier/pit bull,1.0,M,False
514,2015-05-05,american pit bull terrier/pit bull,0.0,M,False
515,2015-05-05,"poodle mix, teacup",12.0,F,True
516,2015-05-05,pit bull,17.0,F,True
517,2015-05-05,pit bull,4.0,M,False
518,2015-05-05,yorkshire terrier,3.0,F,False
519,2015-05-05,pit bull,5.0,U,False
520,2015-05-05,boxer/pit bull,0.0,F,True
521,2015-05-05,pit bull,3.0,M,True
522,2015-05-05,jack russ,7.0,F,True
523,2015-05-05,mixed/other,0.0,F,False
524,2015-05-05,chihuahua,1.0,M,False
525,2015-05-06,chihuahua/boston terr x,5.0,M,True
526,2015-05-06,american staffordshire terrier,2.0,M,False
527,2015-05-06,mixed/other,8.0,M,True
528,2015-05-07,,6.0,F,False
529,2015-05-07,chihuahua,2.0,M,True
530,2015-05-07,australian shepherd,5.0,M,True
531,2015-05-07,golden retriever,9.0,F,True
532,2015-05-07,pit bull,0.0,M,True
533,2015-05-07,shih tzu,1.0,F,False
534,2015-05-08,pit bull,2.0,M,True
535,2015-05-08,shiba inu,0.0,F,True
536,2015-05-08,siberian husky,1.0,M,True
537,2015-05-08,american pit bull terrier/pit bull,6.0,F,False
538,2015-05-08,bull dog,12.0,M,True
539,2015-05-08,russell terr,1.0,M,True
540,2015-05-08,pit bull,5.0,M,False
541,2015-05-09,chihuahua,4.0,F,False
542,2015-05-09,american pit bull terrier/pit bull,8.0,M,True
543,2015-05-09,american pit bull mix / pit bull mix,5.0,F,True
544,2015-05-09,siberian husky,14.0,M,True
545,2015-05-09,pit bull,1.0,M,False
546,2015-05-09,pekingese,4.0,M,False
547,2015-05-09,cairn terrier,17.0,M,False
548,2015-05-09,terrier x,2.0,M,True
549,2015-05-10,american pit bull mix / pit bull mix,3.0,F,False
550,2015-05-10,american staffordshire terrier,2.0,M,False
551,2015-05-10,american pit bull terrier/pit bull,13.0,M,True
552,2015-05-10,goldendoodle,4.0,M,True
553,2015-05-11,american pit bull terrier/pit bull,1.0,F,True
554,2015-05-11,american pit bull terrier/pit bull,2.0,F,False
555,2015-05-12,bloodhound,4.0,M,True
556,2015-05-12,american pit bull mix / pit bull mix,5.0,M,True
557,2015-05-12,saint bernard,4.0,M,True
558,2015-05-12,cane corso,5.0,F,True
559,2015-05-12,shih tzu/maltese x,7.0,F,True
560,2015-05-13,chihuahua,2.0,F,True
561,2015-05-13,pit bull,0.0,M,True
562,2015-05-13,labradoodle,7.0,M,True
563,2015-05-13,pit bull,2.0,F,False
