,incident_date,breed,borough
457,2015-04-26,pit bull,Bronx
458,2015-04-26,chihuahua,Brooklyn
459,2015-04-26,american staffordshire terrier,Brooklyn
460,2015-04-26,bichon frise,Bronx
461,2015-04-26,maltese,Queens
462,2015-04-27,border terrier,Manhattan
463,2015-04-27,pit bull,Queens
464,2015-04-27,shih tzu,Staten Island
465,2015-04-27,american staffordshire terrier,Manhattan
466,2015-04-27,american pit bull terrier/pit bull,Brooklyn
467,2015-04-27,american staffordshire terrier,Staten Island
468,2015-04-27,pit bull,Staten Island
469,2015-04-28,"poodle, standard",Queens
470,2015-04-28,pit bull,Manhattan
471,2015-04-28,shiba inu,Queens
472,2015-04-28,american pit bull mix / pit bull mix,Brooklyn
473,2015-04-28,chihuahua,Bronx
474,2015-04-28,pit bull,Bronx
475,2015-04-29,pit bull,Bronx
476,2015-04-29,pit bull,Queens
477,2015-04-29,pug,Brooklyn
478,2015-04-29,boxer,Manhattan
479,2015-04-29,pointer/beagle x,Brooklyn
480,2015-04-29,shiba inu,Brooklyn
481,2015-04-29,pit bull,Queens
482,2015-04-29,pit bull,Queens
483,2015-04-29,,Brooklyn
484,2015-04-30,german shepherd/ridgeback,Brooklyn
485,2015-04-30,sharpei-mastiff mix,Manhattan
486,2015-05-01,american staffordshire terrier,Brooklyn
487,2015-05-01,maltese - x,Brooklyn
488,2015-05-01,boxer,Brooklyn
489,2015-05-01,pit bull,Bronx
490,2015-05-01,staffordshire terr,Brooklyn
491,2015-05-01,pit bull,Bronx
492,2015-05-01,bichon frise,Brooklyn
493,2015-05-02,american pit bull mix / pit bull mix,Manhattan
494,2015-05-02,havanese,Queens
495,2015-05-02,siberian husky,Queens
496,2015-05-02,bull dog,Queens
497,2015-05-02,american staffordshire terrier,Manhattan
498,2015-05-02,beagle,Staten Island
499,2015-05-02,labrador retriever,Staten Island
500,2015-05-02,"collie, border",Brooklyn
501,2015-05-02,american pit bull mix / pit bull mix,Manhattan
502,2015-05-03,yorkshire terrier,Manhattan
503,2015-05-03,pit bull,Queens
504,2015-05-03,basenji,Queens
505,2015-05-03,mixed/other,Manhattan
506,2015-05-03,dachshund smooth coat,Manhattan
507,2015-05-04,american pit bull mix / pit bull mix,Brooklyn
508,2015-05-04,"schnauzer, miniature",Manhattan
509,2015-05-04,pit bull,Staten Island
510,2015-05-04,rottweiler,Queens
511,2015-05-04,german shepherd,Queens
512,2015-05-04,labradoodle,Queens
513,2015-05-04,american pit bull terrier/pit bull,Bronx
514,2015-05-05,american pit bull terrier/pit bull,Manhattan
515,2015-05-05,"poodle mix, teacup",Manhattan
516,2015-05-05,pit bull,Queens
517,2015-05-05,pit bull,Staten Island
518,2015-05-05,yorkshire terrier,Staten Island
519,2015-05-05,pit bull,Queens
520,2015-05-05,boxer/pit bull,Staten Island
521,2015-05-05,pit bull,Staten Island
522,2015-05-05,jack russ,Queens
523,2015-05-05,mixed/other,Bronx
524,2015-05-05,chihuahua,Bronx
525,2015-05-06,chihuahua/boston terr x,Brooklyn
526,2015-05-06,american staffordshire terrier,Staten Island
527,2015-05-06,mixed/other,Manhattan
528,2015-05-07,,Brooklyn
529,2015-05-07,chihuahua,Queens
530,2015-05-07,australian shepherd,Brooklyn
531,2015-05-07,golden retriever,Staten Island
532,2015-05-07,pit bull,Queens
533,2015-05-07,shih tzu,Bronx
534,2015-05-08,pit bull,Queens
535,2015-05-08,shiba inu,Queens
536,2015-05-08,siberian husky,Queens
537,2015-05-08,american pit bull terrier/pit bull,Queens
